Name,Workers,Threads,Payload Size,Min_Response_Time,Max_Response_Time,Mean_Response_Time,Median_Response_Time,Std_Dev_Response_Time,Total_Requests,Requests_per_Second
/api/decrypt,25,1,1024,50.486,624.955,277.4933802455809,274.938,71.64237324044643,7411,12.44968220611001
/api/decrypt,25,1,4096,37.78,638.2330000000001,274.82001472754047,271.65099999999995,72.58921410096673,7469,12.543479296528238
/api/decrypt,25,1,16384,35.148,864.176,287.16278227779287,282.9345,79.67390118776886,7358,12.376854973943217
/api/decrypt,25,1,32768,36.189,863.874,283.2433404800431,278.0155,78.24016170142107,7416,12.444528769919808
/api/decrypt,25,1,65536,47.153,859.761,301.38707816309943,292.23699999999997,85.20725407872949,7382,12.3958806631787
/api/decrypt,25,1,262144,58.476,1482.054,419.43504991418763,393.3785,152.3212525180437,6992,11.75183027970395
/api/encrypt,25,1,1024,31.459,248.165,58.90280908370742,54.391999999999996,19.475654463833997,7574,12.663109779665534
/api/encrypt,25,1,4096,31.311,242.128,57.64188081512267,53.093,19.31119677902486,7459,12.469490400661952
/api/encrypt,25,1,16384,32.226,305.087,61.83725310704263,56.764,21.58616517043699,7483,12.50015129960626
/api/encrypt,25,1,32768,30.966,333.015,60.44631891388261,55.43,21.01999588402223,7513,12.563318707564575
/api/encrypt,25,1,65536,33.665,327.54299999999995,67.59192086232774,61.135000000000005,25.232818690073817,7329,12.245321069883355
/api/encrypt,25,1,262144,41.121,1037.27,165.59564701754388,136.34799999999998,105.79984290618674,7125,11.902440366244134
